year;month;day;hour;minute;Par1;Par2;Par3;Par4;Rnet1;Rnet2;Rnet3;Rnet4;Rnet5
5;12;3;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;22;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;23;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;22;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;23;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;4;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
